Term,CRN,Subj,Crse,Title,Campus,Enrollment,%Passing,A,B,C,P,D,F,NP,W,Other,ITV,TV,WEB,CLWEB,TVWEB
F07,40101,MTH,112,Elementary Functions,1,26,53.80%,3,7,3,1,1,5,1,5,0,0,0,0,0,0
F07,40102,MTH,112,Elementary Functions,1,13,46.20%,4,2,0,0,1,3,0,3,0,0,0,1,0,0
F07,40103,MTH,211,Foundations of Elem Math I,1,26,92.30%,9,10,5,0,1,0,0,1,0,0,0,0,0,0
F07,40104,MTH,243,Statistics I,1,30,86.70%,10,7,9,0,1,2,0,1,0,0,0,0,0,0
F07,40105,MTH,243,Statistics I,1,25,84.00%,8,8,5,0,1,0,1,2,0,0,0,0,0,0
F07,40106,MTH,244,Statistics II,1,12,83.30%,4,3,2,1,1,0,0,0,1,0,0,0,0,0
F07,40107,MTH,251,Calculus I,1,28,67.90%,4,8,7,0,4,5,0,0,0,0,0,0,0,0
F07,40108,MTH,251,Calculus I,1,34,76.50%,5,10,11,0,6,0,0,2,0,0,0,0,0,0
F07,40109,MTH,252,Calculus II,1,16,43.80%,2,1,4,0,1,3,0,2,3,0,0,0,0,0
F07,40110,MTH,251,Calculus I,1,30,70.00%,7,7,7,0,2,3,0,3,1,0,0,0,0,0
F07,40111,MTH,253,Calculus III,1,15,46.70%,1,3,3,0,2,0,0,6,0,0,0,0,0,0
F07,40112,MTH,254,Vector Calculus I,1,20,75.00%,3,6,6,0,1,1,0,1,2,0,0,0,0,0
F07,40113,MTH,243,Statistics I,1,33,72.70%,15,4,5,0,3,2,3,0,1,0,0,0,0,0
F07,40114,MTH,243,Statistics I,1,31,83.90%,16,8,2,0,2,1,1,1,0,0,0,0,0,0
F07,40115,MTH,244,Statistics II,1,23,91.30%,7,11,3,0,0,0,0,2,0,0,0,0,0,0
F07,40116,MTH,112,Elementary Functions,3,21,61.90%,7,1,5,0,2,1,2,3,0,0,0,0,0,0
F07,40117,MTH,253,Calculus III,3,17,70.60%,2,3,7,0,1,1,2,0,1,0,0,0,0,0
F07,40118,MTH,243,Statistics I,3,26,96.20%,22,2,1,0,0,1,0,0,0,0,0,0,0,0
F07,40119,MTH,252,Calculus II,3,20,65.00%,6,4,3,0,0,6,1,0,0,0,0,0,0,0
F07,40143,MTH,60,Introductory Algebra- 1st Term,1,30,76.70%,13,8,2,0,1,3,1,0,2,0,0,0,0,0
F07,40144,MTH,60,Introductory Algebra- 1st Term,1,30,70.00%,4,6,11,0,1,5,0,3,0,0,0,0,0,0
F07,40145,MTH,60,Introductory Algebra- 1st Term,1,34,64.70%,3,11,8,0,3,2,3,4,0,0,0,0,0,0
F07,40146,MTH,60,Introductory Algebra- 1st Term,1,35,60.00%,3,10,7,1,3,5,2,4,0,0,0,0,0,0
F07,40147,MTH,60,Introductory Algebra- 1st Term,1,35,57.10%,4,11,5,0,4,9,0,2,0,0,0,0,0,0
F07,40148,MTH,61,Introductory Algebra-Part I,1,23,78.30%,6,5,7,0,1,0,0,4,0,0,0,0,0,0
F07,40149,MTH,65,Introductory Algebra-2nd Term,1,27,59.30%,3,7,6,0,1,0,2,8,0,0,0,0,0,0
F07,40150,MTH,65,Introductory Algebra-2nd Term,1,21,42.90%,4,2,3,0,3,5,0,3,1,0,1,0,0,0
F07,40151,MTH,70,Review of Intro Algebra,1,38,81.60%,16,12,3,0,1,0,1,5,0,0,0,0,0,0
F07,40152,MTH,70,Review of Intro Algebra,1,18,66.70%,4,4,4,0,0,0,0,6,0,0,0,0,0,0
F07,40153,MTH,70,Review of Intro Algebra,1,30,73.30%,5,9,7,1,0,0,5,2,1,0,0,0,0,0
F07,40154,MTH,70,Review of Intro Algebra,1,16,87.50%,7,5,2,0,0,0,0,2,0,0,0,0,0,0
F07,40155,MTH,70,Review of Intro Algebra,1,16,93.80%,5,5,5,0,0,0,1,0,0,0,0,0,0,0
F07,40156,MTH,95,Intermediate Algebra,1,18,61.10%,4,6,1,0,0,0,1,3,3,0,0,0,0,0
F07,40157,MTH,95,Intermediate Algebra,1,30,66.70%,6,7,7,0,5,3,0,1,1,0,0,0,0,0
F07,40158,MTH,95,Intermediate Algebra,1,19,31.60%,1,2,3,0,2,4,0,7,0,0,0,0,0,0
F07,40159,MTH,95,Intermediate Algebra,1,22,68.20%,6,5,4,0,0,5,0,1,1,0,0,0,0,0
F07,40160,MTH,95,Intermediate Algebra,1,20,45.00%,3,3,2,1,4,6,0,1,0,0,0,0,0,0
F07,40161,MTH,60,Introductory Algebra- 1st Term,1,33,36.40%,4,4,4,0,5,1,0,10,5,0,0,0,0,0
F07,40162,MTH,60,Introductory Algebra- 1st Term,1,33,72.70%,4,12,8,0,1,2,1,5,0,0,0,0,0,0
F07,40163,MTH,60,Introductory Algebra- 1st Term,1,29,79.30%,8,9,5,1,1,0,0,5,0,0,0,0,0,0
F07,40164,MTH,95,Intermediate Algebra,1,35,68.60%,11,6,6,1,4,1,2,4,0,0,0,0,0,0
F07,40165,MTH,95,Intermediate Algebra,1,32,75.00%,5,11,7,1,1,2,1,2,2,0,0,0,0,0
F07,40166,MTH,30,Business Mathematics,1,16,81.30%,6,6,1,0,0,0,0,1,2,0,1,0,0,0
F07,40167,MTH,60,Introductory Algebra- 1st Term,2,34,44.10%,8,5,2,0,5,10,0,4,0,0,0,0,0,0
F07,40168,MTH,65,Introductory Algebra-2nd Term,2,30,60.00%,6,10,2,0,1,7,0,2,2,0,0,0,0,0
F07,40169,MTH,70,Review of Intro Algebra,2,37,67.60%,10,10,5,0,6,2,0,4,0,0,0,0,0,0
F07,40170,MTH,65,Introductory Algebra-2nd Term,2,35,74.30%,16,6,4,0,4,3,0,2,0,0,0,0,0,0
F07,40171,MTH,95,Intermediate Algebra,2,38,31.60%,7,1,4,0,3,9,5,6,3,0,0,0,0,0
F07,40172,MTH,30,Business Mathematics,3,11,81.80%,5,4,0,0,0,0,0,1,1,0,0,0,0,0
F07,40173,MTH,60,Introductory Algebra- 1st Term,3,32,62.50%,6,4,10,0,1,2,0,9,0,0,0,0,0,0
F07,40174,MTH,60,Introductory Algebra- 1st Term,3,31,87.10%,8,10,9,0,1,0,1,2,0,0,0,0,0,0
F07,40176,MTH,60,Introductory Algebra- 1st Term,3,32,53.10%,6,6,5,0,5,3,1,6,0,0,0,0,0,0
F07,40177,MTH,65,Introductory Algebra-2nd Term,3,22,95.50%,15,2,4,0,0,0,0,1,0,0,0,0,0,0
F07,40178,MTH,60,Introductory Algebra- 1st Term,3,31,64.50%,9,7,4,0,0,1,0,9,1,0,0,0,0,0
F07,40179,MTH,60,Introductory Algebra- 1st Term,3,30,80.00%,10,8,6,0,2,2,0,2,0,0,0,0,0,0
F07,40180,MTH,95,Intermediate Algebra,3,12,66.70%,0,4,4,0,2,0,0,2,0,0,0,0,0,0
F07,40181,MTH,95,Intermediate Algebra,3,30,66.70%,6,6,8,0,7,1,0,2,0,0,0,0,0,0
