Term,AY,DL_CRNS,F2F_CRNS,All_CRNS,DL_Enrollments,F2F_Enrollments,All_Enrollments,Perc_DL_CRNS,Perc_DL_Enrollments,020_DL_Pass_Rate,020_F2F_Pass_Rate,030_DL_Pass_Rate,030_F2F_Pass_Rate,060_DL_Pass_Rate,060_F2F_Pass_Rate,065_DL_Pass_Rate,065_F2F_Pass_Rate,070_DL_Pass_Rate,070_F2F_Pass_Rate,084_DL_Pass_Rate,084_F2F_Pass_Rate,095_DL_Pass_Rate,095_F2F_Pass_Rate,111_DL_Pass_Rate,111_F2F_Pass_Rate,112_DL_Pass_Rate,112_F2F_Pass_Rate,241_DL_Pass_Rate,241_F2F_Pass_Rate,243_DL_Pass_Rate,243_F2F_Pass_Rate,244_DL_Pass_Rate,244_F2F_Pass_Rate
NaN,NaN,,,,NaN,,,,,20,,30,,60,,65,,70,,84,,95,,111,,112,,241,,243,,244,
F07,NaN,22,287,309,580,7338,7918,0.071197411,0.073250821,0.686746988,0.643538595,0.8125,0.838709677,0.602564103,0.662622761,0.578313253,0.715123095,0.242424242,0.743801653,#DIV/0!,#DIV/0!,0.540540541,0.639383155,0.475,0.701732673,0.461538462,0.62,0.846153846,#DIV/0!,0.512820513,0.786749482,0.566666667,0.824561404
W08,NaN,22,281,303,607,6844,7451,0.072607261,0.081465575,0.694444444,0.640522876,0.727272727,#DIV/0!,0.582733813,0.649051491,0.618644068,0.690909091,0.482758621,0.644295302,#DIV/0!,#DIV/0!,0.486111111,0.711558855,0.518518519,0.709537572,0.708333333,0.708,#DIV/0!,#DIV/0!,0.725806452,0.800518135,0.666666667,0.82
S08,NaN,23,268,291,608,6367,6975,0.079037801,0.087168459,0.741935484,0.667779633,#DIV/0!,#DIV/0!,0.524475524,0.570598007,0.544,0.662337662,0.379310345,0.735294118,#DIV/0!,#DIV/0!,0.515151515,0.651270208,0.3125,0.7250342,0.590909091,0.655462185,#DIV/0!,0.785714286,0.651162791,0.777493606,0.72972973,0.883838384
U08,NaN,20,131,151,528,2669,3197,0.132450331,0.165154833,0.685185185,0.670212766,#DIV/0!,#DIV/0!,0.581395349,0.650526316,0.676767677,0.726415094,0.5,0.575,#DIV/0!,#DIV/0!,0.580246914,0.778711485,0.578947368,0.795918367,0.461538462,0.616666667,#DIV/0!,0.891891892,0.753246753,0.791878173,0.777777778,0.907894737
F08,NaN,24,305,329,740,8144,8884,0.072948328,0.083295813,0.671052632,0.637174211,#DIV/0!,0.923076923,0.492822967,0.656528579,0.58677686,0.654651163,0.487804878,0.702205882,#DIV/0!,#DIV/0!,0.403225806,0.63891675,0.43902439,0.710614525,0.454545455,0.711340206,#DIV/0!,#DIV/0!,0.578125,0.763513514,0.761904762,0.701923077
W09,NaN,24,307,331,759,7941,8700,0.072507553,0.087241379,0.68,0.66631016,#DIV/0!,#DIV/0!,0.563535912,0.646774194,0.646616541,0.734645669,0.480769231,0.589403974,#DIV/0!,#DIV/0!,0.434782609,0.685835996,0.626865672,0.72418136,0.52,0.666666667,#DIV/0!,#DIV/0!,0.722222222,0.764091858,0.631578947,0.838541667
S09,NaN,29,309,338,803,7960,8763,0.085798817,0.091635285,0.684210526,0.636163175,0.8,#DIV/0!,0.478723404,0.633784655,0.594405594,0.65690054,0.428571429,0.651612903,#DIV/0!,#DIV/0!,0.551181102,0.651982379,0.450704225,0.664580726,0.692307692,0.65480427,#DIV/0!,0.714285714,0.704918033,0.74012474,0.785714286,0.834080717
U09,NaN,21,150,171,594,3581,4175,0.122807018,0.142275449,0.62962963,0.651474531,#DIV/0!,#DIV/0!,0.464912281,0.615499255,0.739130435,0.731958763,0.317073171,0.730769231,#DIV/0!,#DIV/0!,0.554054054,0.716701903,0.481481481,0.784461153,0.36,0.762237762,#DIV/0!,0.861111111,0.62244898,0.840375587,0.263157895,0.91509434
F09,NaN,29,345,374,976,9860,10836,0.077540107,0.090070137,0.611570248,0.64619883,0.5625,#DIV/0!,0.606707317,0.673979816,0.547619048,0.6434619,0.463414634,0.740634006,#DIV/0!,#DIV/0!,0.535353535,0.666936136,0.451612903,0.728346457,0.576923077,0.586309524,0.923076923,#DIV/0!,0.716666667,0.786324786,0.583333333,0.753164557
