% demographic data from 2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% This data was produced using the banner command: SWRDEPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% CAMPUS CODE: P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% SUBJECT CODE: MTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% COURSE NUMBER: have to specify individually- this means that a separate report has to be done for each and every subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Note that the percentages were calculated using totals of students that chose to identify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% which may be different from the actual total.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Note that this year contains data for MTH 111A. B. and C separately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%,MTH 20,,,,,MTH 60,,,,,MTH 65 ,,,,,MTH 95,,,,,MTH 111A,,,,,MTH 111B,,,,,MTH 111C,,,,,MTH 111B and C combined,,,,,MTH 112,,,,,MTH 243,,,,,MTH 244,,,,,MTH 251,,,,,MTH 252,,,,,MTH 253,,,,,MTH 254,,,,
demographic,mth20p,mth20np,mth20tot,mth20totper,mth20totpass,mth60p,mth60np,mth60tot,mth60totper,mth60totpass,mth65p,mth65np,mth65tot,mth65totper,mth65totpass,mth95p,mth95np,mth95tot,mth95totper,mth95totpass,mth111Ap,mth111Anp,mth111Atot,mth111Atotper,mth111Atotpass,mth111Bp,mth111Bnp,mth111Btot,mth111Btotper,mth111Btotpass,mth111Cp,mth111Cnp,mth111Ctot,mth111Ctotper,mth111Ctotpass,mth111BCp,mth111BCnp,mth111BCtot,mth111BCtotper,mth111BCtotpass,mth112p,mth112np,mth112tot,mth112totper,mth112totpass,mth243p,mth243np,mth243tot,mth243totper,mth243totpass,mth244p,mth244np,mth244tot,mth244totper,mth244totpass,mth251p,mth251np,mth251tot,mth251totper,mth251totpass,mth252p,mth252np,mth252tot,mth252totper,mth252totpass,mth253p,mth253np,mth253tot,mth253totper,mth253totpass,mth254p,mth254np,mth254tot,mth254totper,mth254totpass
%,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass
Headcount,3039,1551,4590,,0.6620915033,5264,2673,7937,,0.6632228802,3995,1524,5519,,0.7238630187,3429,1385,4814,,0.7122974657,,,,,,1561,495,2056,,,1255,574,1829,,,2816,1069,3885,,,1000,469,1469,,0.680735194,1833,497,2330,,0.786695279,742,162,904,,0.8207964602,741,226,967,,0.7662874871,500,152,652,,0.7668711656,321,59,380,,0.8447368421,188,43,231,,0.8138528139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,1817,787,2604,0.5693047661,0.6977726575,2873,1264,4137,0.5260681587,0.6944645879,2203,768,2971,0.543442473,0.7415011781,1863,708,2571,0.5392197987,0.7246207701,0,0,0,0,0,904,277,1181,0.5786379226,0.4429201372,533,257,790,0.4364640884,0.2944751381,1437,534,1971,0.511815113,0.3731498312,326,161,487,0.3356305996,0.6694045175,1031,271,1302,0.5643693108,0.791858679,405,68,473,0.5279017857,0.8562367865,206,60,266,0.2773722628,0.7744360902,104,30,134,0.2067901235,0.776119403,63,11,74,0.1947368421,0.8513513514,46,9,55,0.2391304348,0.8363636364
Male,1204,766,1970,0.4306952339,0.6111675127,2343,1384,3727,0.4739318413,0.6286557553,1752,744,2496,0.456557527,0.7019230769,1533,664,2197,0.4607802013,0.6977696859,0,0,0,0,0,644,216,860,0.4213620774,0.3155316022,711,309,1020,0.5635359116,0.3928176796,1355,525,1880,0.488184887,0.3518566606,666,298,964,0.6643694004,0.6908713693,783,222,1005,0.4356306892,0.7791044776,330,93,423,0.4720982143,0.780141844,532,161,693,0.7226277372,0.7676767677,395,119,514,0.7932098765,0.7684824903,258,48,306,0.8052631579,0.8431372549,141,34,175,0.7608695652,0.8057142857
,,,4574,,,,,7864,,,,,5467,,,,,4768,,,,,0,,,,,2041,,,,,1810,,,,,3851,,,,,1451,,,,,2307,,,,,896,,,,,959,,,,,648,,,,,380,,,,,230,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,1786,818,2604,0.6116983791,0.6858678955,3526,1629,5155,0.7097618064,0.6839961203,2678,1003,3681,0.737232125,0.7275196957,2218,895,3113,0.7285279663,0.7124959846,0,0,0,0,0,990,299,1289,0.7193080357,0.5524553571,807,351,1158,0.7251095805,0.5053224796,1797,650,2447,0.7220419003,0.53024491,636,300,936,0.7364280094,0.6794871795,1127,295,1422,0.6998031496,0.7925457103,427,94,521,0.6603295311,0.8195777351,452,134,586,0.7181372549,0.771331058,308,87,395,0.7208029197,0.7797468354,194,40,234,0.7112462006,0.8290598291,120,30,150,0.75,0.8
Asian,119,37,156,0.036645525,0.7628205128,220,85,305,0.0419936665,0.7213114754,203,63,266,0.0532745844,0.7631578947,238,68,306,0.0716124503,0.7777777778,0,0,0,0,0,107,30,137,0.0764508929,0.0597098214,102,46,148,0.0926737633,0.0638697558,209,76,285,0.0840956034,0.0616701092,90,29,119,0.0936270653,0.756302521,170,44,214,0.1053149606,0.7943925234,85,9,94,0.1191381496,0.9042553191,78,24,102,0.125,0.7647058824,52,12,64,0.1167883212,0.8125,39,3,42,0.1276595745,0.9285714286,22,2,24,0.12,0.9166666667
Hispanic,284,138,422,0.0991308433,0.672985782,355,200,555,0.0764147047,0.6396396396,273,108,381,0.0763068296,0.7165354331,217,96,313,0.0732506436,0.6932907348,0,0,0,0,0,107,38,145,0.0809151786,0.0597098214,54,39,93,0.0582341891,0.0338134001,161,77,238,0.0702272057,0.0475066391,48,26,74,0.0582218725,0.6486486486,103,43,146,0.0718503937,0.7054794521,51,14,65,0.082382763,0.7846153846,28,13,41,0.050245098,0.6829268293,20,9,29,0.052919708,0.6896551724,20,3,23,0.0699088146,0.8695652174,6,0,6,0.03,1
