% demographic data from 2011-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% This data was produced using the banner command: SWRDEPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% CAMPUS CODE: P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% SUBJECT CODE: MTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% COURSE NUMBER: have to specify individually- this means that a separate report has to be done for each and every subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Note that the percentages were calculated using totals of students that chose to identify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% which may be different from the actual total.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%,MTH 20,,,,,MTH 60,,,,,MTH 65,,,,,MTH 95,,,,,MTH 111,,,,,MTH 112,,,,,MTH 243,,,,,MTH 244,,,,,MTH 251,,,,,MTH 252,,,,,MTH 253,,,,,MTH 254,,,,
demographic,mth20p,mth20np,mth20tot,mth20totper,mth20totpass,mth60p,mth60np,mth60tot,mth60totper,mth60totpass,mth65p,mth65np,mth65tot,mth65totper,mth65totpass,mth95p,mth95np,mth95tot,mth95totper,mth95totpass,mth111p,mth111np,mth111tot,mth111totper,mth111totpass,mth112p,mth112np,mth112tot,mth112totper,mth112totpass,mth243p,mth243np,mth243tot,mth243totper,mth243totpass,mth244p,mth244np,mth244tot,mth244totper,mth244totpass,mth251p,mth251np,mth251tot,mth251totper,mth251totpass,mth252p,mth252np,mth252tot,mth252totper,mth252totpass,mth253p,mth253np,mth253tot,mth253totper,mth253totpass,mth254p,mth254np,mth254tot,mth254totper,mth254totpass
%,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass
Headcount,3354,1775,5129,,,5481,2838,8319,,,4053,1703,5756,,,3545,1547,5092,,,2471,1254,3725,,,1116,501,1617,,,1959,550,2509,,,815,189,1004,,,749,234,983,,,557,165,722,,,337,86,423,,,271,43,314,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,1983,903,2886,0.5676632573,0.6871101871,2853,1386,4239,0.513942774,0.6730360934,2162,910,3072,0.5392311743,0.7037760417,1920,779,2699,0.535303451,0.7113745832,1274,664,1938,0.5259158752,0.657378741,386,187,573,0.3563432836,0.6736474695,1134,305,1439,0.5774478331,0.788047255,405,86,491,0.4929718876,0.8248472505,219,63,282,0.2898252826,0.7765957447,124,35,159,0.221448468,0.7798742138,62,15,77,0.182464455,0.8051948052,43,7,50,0.1597444089,0.86
Male,1341,857,2198,0.4323367427,0.610100091,2579,1430,4009,0.486057226,0.6433025692,1851,774,2625,0.4607688257,0.7051428571,1591,752,2343,0.464696549,0.6790439607,1172,575,1747,0.4740841248,0.6708643389,724,311,1035,0.6436567164,0.6995169082,814,239,1053,0.4225521669,0.7730294397,404,101,505,0.5070281124,0.8,523,168,691,0.7101747174,0.7568740955,432,127,559,0.778551532,0.7728085868,275,70,345,0.817535545,0.7971014493,227,36,263,0.8402555911,0.8631178707
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5084,,,,,8248,,,,,5697,,,,,5042,,,,,3685,,,,,1608,,,,,2492,,,,,996,,,,,973,,,,,718,,,,,422,,,,,313,,
White,1926,917,2843,0.5991570074,0.6774533943,3463,1712,5175,0.6797583082,0.669178744,2622,1063,3685,0.7017710912,0.7115332429,2259,982,3241,0.7038002172,0.6970070966,1592,801,2393,0.7201324105,0.665273715,730,329,1059,0.7526652452,0.6893295562,1230,339,1569,0.7077131258,0.7839388145,484,101,585,0.6565656566,0.8273504274,483,137,620,0.7354685647,0.7790322581,357,97,454,0.729903537,0.7863436123,208,58,266,0.7287671233,0.7819548872,172,20,192,0.7529411765,0.8958333333
Asian,127,33,160,0.033719705,0.79375,210,83,293,0.0384867989,0.7167235495,186,52,238,0.0453247001,0.781512605,228,88,316,0.0686210641,0.7215189873,191,68,259,0.077941619,0.7374517375,78,38,116,0.0824449183,0.6724137931,186,37,223,0.100586378,0.8340807175,93,10,103,0.1156004489,0.9029126214,52,20,72,0.0854092527,0.7222222222,39,13,52,0.0836012862,0.75,32,2,34,0.0931506849,0.9411764706,22,3,25,0.0980392157,0.88
Hispanic,308,132,440,0.0927291886,0.7,394,193,587,0.0771049521,0.67120954,304,108,412,0.0784612455,0.7378640777,224,103,327,0.071009772,0.6850152905,120,89,209,0.0628949744,0.5741626794,43,21,64,0.0454868515,0.671875,93,31,124,0.0559314389,0.75,35,12,47,0.0527497194,0.7446808511,30,16,46,0.0545670225,0.652173913,33,9,42,0.0675241158,0.7857142857,12,7,19,0.0520547945,0.6315789474,12,2,14,0.0549019608,0.8571428571
