% demographic data from 2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% This data was produced using the banner command: SWRDEPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% CAMPUS CODE: P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% SUBJECT CODE: MTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% COURSE NUMBER: have to specify individually- this means that a separate report has to be done for each and every subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Note that the percentages were calculated using totals of students that chose to identify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% which may be different from the actual total.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demographic,mth20p,mth20np,mth20tot,mth20totper,mth20totpass,mth60p,mth60np,mth60tot,mth60totper,mth60totpass,mth65p,mth65np,mth65tot,mth65totper,mth65totpass,mth95p,mth95np,mth95tot,mth95totper,mth95totpass,mth111p,mth111np,mth111tot,mth111totper,mth111totpass,mth112p,mth112np,mth112tot,mth112totper,mth112totpass,mth243p,mth243np,mth243tot,mth243totper,mth243totpass,mth244p,mth244np,mth244tot,mth244totper,mth244totpass,mth251p,mth251np,mth251tot,mth251totper,mth251totpass,mth252p,mth252np,mth252tot,mth252totper,mth252totpass,mth253p,mth253np,mth253tot,mth253totper,mth253totpass,mth254p,mth254np,mth254tot,mth254totper,mth254totpass
%,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass
Headcount,2986,1548,4534,,,4966,2539,7505,,,3925,1690,5615,,,3500,1605,5105,,,2760,1518,4278,,,1142,471,1613,,,1763,524,2287,,,745,140,885,,,832,228,1060,,,536,174,710,,,360,86,446,,,180,39,219,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,1748,797,2545,0.5692238873,0.6868369352,2605,1235,3840,0.5161984138,0.6783854167,2113,874,2987,0.5362657092,0.7073987278,1899,836,2735,0.5408344868,0.6943327239,1374,793,2167,0.5103626943,0.634056299,373,167,540,0.3375,0.6907407407,1033,301,1334,0.5868895733,0.7743628186,411,68,479,0.5437003405,0.8580375783,215,58,273,0.2602478551,0.7875457875,137,36,173,0.2446958982,0.7919075145,78,20,98,0.2202247191,0.7959183673,35,9,44,0.2018348624,0.7954545455
Male,1193,733,1926,0.4307761127,0.6194184839,2316,1283,3599,0.4838015862,0.6435120867,1784,799,2583,0.4637342908,0.6906697638,1568,754,2322,0.4591655132,0.6752799311,1374,705,2079,0.4896373057,0.6608946609,757,303,1060,0.6625,0.7141509434,718,221,939,0.4131104267,0.7646432375,331,71,402,0.4562996595,0.8233830846,612,164,776,0.7397521449,0.7886597938,398,136,534,0.7553041018,0.7453183521,281,66,347,0.7797752809,0.8097982709,145,29,174,0.7981651376,0.8333333333
,,,4471,,,,,7439,,,,,5570,,,,,5057,,,,,4246,,,,,1600,,,,,2273,,,,,881,,,,,1049,,,,,707,,,,,445,,,,,218,,
White,1598,802,2400,0.5699358822,0.6658333333,3123,1499,4622,0.6664744052,0.6756815232,2501,1002,3503,0.6786129407,0.7139594633,2239,948,3187,0.6804013664,0.7025415751,1780,916,2696,0.6875796991,0.6602373887,726,299,1025,0.7030178326,0.7082926829,1123,317,1440,0.6946454414,0.7798611111,429,87,516,0.6666666667,0.8313953488,509,138,647,0.6897654584,0.7867078825,337,107,444,0.7172859451,0.759009009,229,52,281,0.7513368984,0.8149466192,121,21,142,0.7395833333,0.8521126761
Asian,132,19,151,0.0358584659,0.8741721854,224,72,296,0.0426820476,0.7567567568,195,67,262,0.0507555211,0.7442748092,237,76,313,0.066823228,0.7571884984,200,79,279,0.0711553175,0.7168458781,107,39,146,0.1001371742,0.7328767123,148,39,187,0.0902074288,0.7914438503,71,14,85,0.1098191214,0.8352941176,81,22,103,0.1098081023,0.786407767,38,14,52,0.084006462,0.7307692308,22,7,29,0.077540107,0.7586206897,12,5,17,0.0885416667,0.7058823529
Hispanic,295,108,403,0.0957017336,0.7320099256,372,181,553,0.079740447,0.6726943942,291,131,422,0.0817512592,0.6895734597,221,118,339,0.0723740393,0.6519174041,157,103,260,0.0663096149,0.6038461538,49,19,68,0.0466392318,0.7205882353,87,35,122,0.0588519055,0.7131147541,46,8,54,0.0697674419,0.8518518519,36,8,44,0.0469083156,0.8181818182,20,12,32,0.0516962843,0.625,14,4,18,0.0481283422,0.7777777778,7,1,8,0.0416666667,0.875
Black,331,303,634,0.1505580622,0.5220820189,269,264,533,0.0768565249,0.5046904315,167,129,296,0.0573421155,0.5641891892,124,91,215,0.0459009394,0.576744186,82,82,164,0.0418260648,0.5,25,16,41,0.0281207133,0.6097560976,38,24,62,0.0299083454,0.6129032258,19,4,23,0.0297157623,0.8260869565,12,8,20,0.0213219616,0.6,6,7,13,0.0210016155,0.4615384615,4,1,5,0.013368984,0.8,2,1,3,0.015625,0.6666666667
