Course,2007-08,DL2007-08,DL Pass rate2007-08,FtoF2007-08,FtoF Pass rate2007-08,2008-09,DL2008-09,DL Pass rate2008-09,FtoF2008-09,FtoF Pass rate2008-09,2009-10,DL2009-10,DL Pass rate2009-10,FtoF2009-10,FtoF Pass rate2009-10,2010-11,DL2010-11,DL Pass rate2010-11,FtoF2010-11,FtoF Pass rate2010-11,2011-12,DL2011-12,DL Pass rate2011-12,FtoF2011-12,FtoF Pass rate2011-12,2012-13,DL2012-13,DL Pass rate2012-13,FtoF2012-13,FtoF Pass rate2012-13
%,,1,2007/08,0,25541,,1,2008/09,0,30489,,1,2009/10,0,38505,,1,2010/11,0,40243,,1,2011/12,0,43767,,1,2012/13,0,41765
20,,271,0.701107011,2799,0.650589496,,352,0.667613636,3673,0.645793629,,478,0.60460251,4751,0.619659019,,344,0.590116279,4602,0.616036506,,474,0.504219409,5181,0.591777649,,425,0.470588235,4623,0.596582306
%22,,0,0,37,0.891891892,,0,0,33,0.878787879,,0,0,41,0.951219512,,0,0,0,0,,0,0,0,0,,0,0,0,0
30,,38,0.763157895,31,0.838709677,,15,0.8,13,0.923076923,,57,0.614035088,0,0,,62,0.596774194,0,0,,68,0.485294118,0,0,,71,0.478873239,0,0
%10B,,0,0,71,0.633802817,,0,0,113,0.610619469,,0,0,65,0.569230769,,0,0,0,0,,0,0,0,0,,0,0,0,0
%15,,0,0,65,0.953846154,,0,0,63,0.936507937,,0,0,69,0.956521739,,0,0,61,0.918032787,,0,0,61,0.852459016,,0,0,60,0.933333333
60,,567,0.57319224,4886,0.634670487,,692,0.502890173,5989,0.643012189,,1263,0.488519398,7273,0.638801045,,1307,0.469013007,7310,0.623392613,,1618,0.456118665,7580,0.620580475,,1421,0.42505278,6840,0.621929825
%61,,0,0,195,0.692307692,,0,0,218,0.706422018,,0,0,323,0.702786378,,0,0,450,0.668888889,,0,0,509,0.561886051,,0,0,511,0.56555773
%62,,0,0,172,0.726744186,,0,0,189,0.740740741,,0,0,249,0.746987952,,0,0,323,0.73993808,,0,0,429,0.571095571,,0,0,488,0.579918033
%63,,0,0,95,0.810526316,,0,0,146,0.794520548,,0,0,188,0.739361702,,0,0,232,0.732758621,,0,0,300,0.71,,0,0,249,0.694779116
65,,425,0.602352941,3349,0.69125112,,512,0.638671875,3912,0.69095092,,832,0.621394231,4915,0.66266531,,958,0.620041754,4970,0.673440644,,1168,0.524828767,5168,0.653250774,,1156,0.524221453,5122,0.636274893
70,,107,0.38317757,533,0.701688555,,169,0.431952663,604,0.662251656,,169,0.420118343,783,0.701149425,,180,0.422222222,950,0.68,,182,0.401098901,1004,0.658366534,,152,0.453947368,856,0.683411215
%84,,0,0,0,0,,0,0,0,0,,0,0,0,0,,42,0.571428571,0,0,,51,0.784313725,0,0,,35,0.628571429,0,0
%91,,0,0,107,0.775700935,,0,0,51,0.490196078,,0,0,59,0.711864407,,0,0,31,0.903225806,,0,0,58,0.517241379,,0,0,0,0
%92,,0,0,65,0.846153846,,0,0,12,1,,0,0,41,0.926829268,,0,0,27,0.851851852,,0,0,27,0.666666667,,0,0,0,0
%93,,0,0,80,0.9,,0,0,121,0.933884298,,0,0,192,0.916666667,,0,0,208,0.899038462,,0,0,130,0.769230769,,0,0,139,0.928057554
95,,326,0.530674847,3009,0.681954138,,417,0.482014388,3544,0.665914221,,557,0.55475763,4293,0.675751223,,579,0.590673575,4682,0.650576677,,643,0.520995334,5035,0.63733863,,716,0.460893855,5056,0.629351266
%105,,0,0,0,0,,0,0,54,0.851851852,,14,0.714285714,133,0.894736842,,0,0,222,0.869369369,,0,0,271,0.915129151,,0,0,334,0.850299401
%111H,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,13,0.692307692,,0,0,37,0.810810811
111,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,540,0.342592593,4244,0.630537229,,752,0.436170213,4103,0.585669023
111A,,11,0.818181818,127,0.866141732,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
111C,,89,0.516853933,1119,0.697944593,,88,0.511363636,1333,0.659414854,,194,0.505154639,1595,0.707210031,,231,0.329004329,1765,0.660056657,,0,0,0,0,,0,0,0,0
111B,,61,0.295081967,1328,0.730421687,,118,0.508474576,1554,0.756756757,,207,0.449275362,1829,0.771459814,,203,0.497536946,1979,0.723092471,,0,0,0,0,,0,0,0,0
112,,85,0.564705882,808,0.657178218,,98,0.510204082,994,0.690140845,,144,0.513888889,1300,0.629230769,,217,0.437788018,1413,0.627034678,,197,0.461928934,1629,0.642111725,,239,0.464435146,1574,0.657560356
%211,,0,0,194,0.943298969,,0,0,228,0.925438596,,0,0,214,0.88317757,,0,0,235,0.889361702,,0,0,132,0.886363636,,0,0,128,0.890625
%212,,0,0,134,0.895522388,,0,0,162,0.944444444,,0,0,131,0.900763359,,0,0,207,0.903381643,,0,0,109,0.95412844,,0,0,89,0.887640449
%213,,0,0,113,0.938053097,,0,0,142,0.971830986,,0,0,122,0.893442623,,0,0,152,0.901315789,,0,0,80,0.9375,,0,0,78,0.858974359
%231,,0,0,52,0.846153846,,0,0,67,0.865671642,,0,0,19,0.578947368,,0,0,0,0,,0,0,0,0,,0,0,0,0
%232,,0,0,31,0.935483871,,0,0,37,0.945945946,,0,0,18,0.944444444,,0,0,0,0,,0,0,0,0,,0,0,0,0
%241,,13,0.846153846,51,0.862745098,,0,0,50,0.82,,13,0.923076923,57,0.701754386,,0,0,59,0.86440678,,0,0,78,0.602564103,,0,0,47,0.808510638
243,,221,0.683257919,1457,0.788606726,,313,0.658146965,1617,0.766852195,,517,0.659574468,1912,0.779811715,,598,0.662207358,1882,0.782146652,,602,0.634551495,2028,0.750986193,,655,0.618320611,1727,0.752750434
244,,109,0.688073394,588,0.853741497,,122,0.672131148,625,0.8272,,155,0.735483871,779,0.824133504,,225,0.764444444,689,0.773584906,,299,0.695652174,707,0.785007072,,283,0.724381625,642,0.841121495
%251,,0,0,613,0.734094617,,0,0,700,0.682857143,,0,0,910,0.667032967,,0,0,1036,0.698841699,,0,0,1091,0.704857929,,0,0,1152,0.714409722
%252,,0,0,454,0.698237885,,0,0,525,0.731428571,,0,0,569,0.727592267,,0,0,748,0.700534759,,0,0,788,0.675126904,,0,0,802,0.682044888
%253,,0,0,220,0.759090909,,0,0,337,0.765578635,,0,0,404,0.715346535,,0,0,402,0.763681592,,0,0,488,0.723360656,,0,0,496,0.741935484
%254,,0,0,149,0.771812081,,0,0,172,0.802325581,,0,0,226,0.840707965,,0,0,256,0.765625,,0,0,307,0.827361564,,0,0,235,0.757446809
%256,,0,0,168,0.81547619,,0,0,183,0.803278689,,0,0,240,0.825,,0,0,202,0.792079208,,0,0,250,0.856,,0,0,235,0.804255319
%261,,0,0,118,0.881355932,,0,0,132,0.803030303,,0,0,205,0.834146341,,0,0,204,0.779411765,,0,0,228,0.798245614,,0,0,237,0.827004219
