campus,status,below100,b100percent,above100,a100percent,total,totpercent
Cascade,Full-Time,88,0.2051282051,62,0.3563218391,150,0.2487562189
,Part-Time,341,0.7948717949,112,0.6436781609,453,0.7512437811
,Total,429,,174,,603,
Sylvania,Full-Time,132,0.2052877138,171,0.4285714286,303,0.2907869482
,Part-Time,511,0.7947122862,228,0.5714285714,739,0.7092130518
,Total,643,,399,,1042,
Rock Creek,Full-Time,80,0.1248049922,143,0.3823529412,223,0.2197044335
,Part-Time,561,0.8751950078,231,0.6176470588,792,0.7802955665
,Total,641,,374,,1015,
Southeast,Full-Time,65,0.2256944444,26,0.4193548387,91,0.26
,Part-Time,223,0.7743055556,36,0.5806451613,259,0.74
,Total,288,,62,,350,
