campus,status,below100,b100percent,above100,a100percent,total,totpercent
Cascade,Full-Time,12,0.2,13,0.5652173913,25,0.3012048193
,Part-Time,48,0.8,10,0.4347826087,58,0.6987951807
,Total,60,,23,,83,
Sylvania,Full-Time,22,0.2244897959,27,0.5094339623,49,0.3245033113
,Part-Time,76,0.7755102041,26,0.4905660377,102,0.6754966887
,Total,98,,53,,151,
Rock Creek,Full-Time,8,0.0824742268,21,0.3888888889,29,0.1920529801
,Part-Time,89,0.9175257732,33,0.6111111111,122,0.8079470199
,Total,97,,54,,151,
South East,Full-Time,11,0.2444444444,4,0.4444444444,15,0.2777777778
,Part-Time,34,0.7555555556,5,0.5555555556,39,0.7222222222
,Total,45,,9,,54,
