campus,status,below100,b100percent,above100,a100percent,total,totpercent
Cascade,Full-Time,11,0.1774193548,8,0.32,19,0.2183908046
,Part-Time,51,0.8225806452,17,0.68,68,0.7816091954
,Total,62,,25,,87,
Sylvania,Full-Time,23,0.23,24,0.48,47,0.3133333333
,Part-Time,77,0.77,26,0.52,103,0.6866666667
,Total,100,,50,,150,
Rock Creek,Full-Time,16,0.1739130435,21,0.4038461538,37,0.2569444444
,Part-Time,76,0.8260869565,31,0.5961538462,107,0.7430555556
,Total,92,,52,,144,
Southeast,Full-Time,8,0.2162162162,5,0.5555555556,13,0.2826086957
,Part-Time,29,0.7837837838,4,0.4444444444,33,0.7173913043
,Total,37,,9,,46,
