campus,status,below100,b100percent,above100,a100percent,total,totpercent
Cascade,Full-Time,1,0.03125,1,0.0625,2,0.0416666667
,Part-Time,31,0.96875,15,0.9375,46,0.9583333333
,Total,32,,16,,48,
Sylvania,Full-Time,0,0,1,0.0303030303,1,0.0138888889
,Part-Time,39,1,32,0.9696969697,71,0.9861111111
,Total,39,,33,,72,
Rock Creek,Full-Time,2,0.0540540541,1,0.03125,3,0.0434782609
,Part-Time,35,0.9459459459,31,0.96875,66,0.9565217391
,Total,37,,32,,69,
South East,Full-Time,2,0.0952380952,0,0,2,0.0833333333
,Part-Time,19,0.9047619048,3,1,22,0.9166666667
,Total,21,,3,,24,
