campus,status,below100,b100percent,above100,a100percent,total,totpercent
Cascade,Full-Time,16,0.2666666667,11,0.4782608696,27,0.3253012048
,Part-Time,44,0.7333333333,12,0.5217391304,56,0.6746987952
,Total,60,,23,,83,
Sylvania,Full-Time,18,0.1956521739,28,0.5283018868,46,0.3172413793
,Part-Time,74,0.8043478261,25,0.4716981132,99,0.6827586207
,Total,92,,53,,145,
Rock Creek,Full-Time,10,0.101010101,25,0.5,35,0.2348993289
,Part-Time,89,0.898989899,25,0.5,114,0.7651006711
,Total,99,,50,,149,
Southeast,Full-Time,12,0.3,3,0.3,15,0.3
,Part-Time,28,0.7,7,0.7,35,0.7
,Total,40,,10,,50,
